source;target;pre_link;post_link
44368;44392;0;1
44397;44392;0;1
44358;44392;0;1
44361;44392;1;1
44382;44392;0;1
44376;44392;1;1
44384;44392;1;1
44379;44392;1;0
44375;44392;1;0
2667;44392;0;1
10380;44392;0;1
44364;44392;0;1
44383;44392;0;1
9761;44392;0;1
8993;44392;0;1
44379;44393;1;0
44384;44393;1;1
10383;44393;1;0
44395;44393;0;1
78692;44393;1;1
44381;44393;1;0
10380;44393;0;1
44357;44393;1;1
70376;44393;1;0
44382;44393;1;1
10387;44393;1;0
44366;44393;1;1
44377;44393;1;0
10386;44393;1;0
44369;44393;1;1
44370;44393;1;1
2667;44393;0;1
60620;44393;1;0
44379;44394;1;1
44369;44394;0;1
10380;44394;0;1
40773;44394;0;1
70376;44394;1;0
44383;44394;1;0
67546;44394;0;1
10387;44394;1;0
44382;44395;0;1
44386;44395;1;0
55133;44395;0;1
44370;44395;0;1
44366;44395;0;1
2667;44395;0;1
44393;44395;0;1
44365;44395;1;0
44368;44395;0;1
44392;44395;0;1
78692;44395;0;1
10380;44395;0;1
40744;44395;0;1
44361;44395;1;1
10387;44395;0;1
82258;44395;0;1
44357;44395;0;1
44369;44395;0;1
44384;44395;0;1
40736;44395;0;1
70376;44395;0;1
10383;44396;1;1
44397;44396;1;0
44382;44396;1;0
44376;44396;1;0
44359;44396;1;0
10382;44396;1;0
40776;44396;0;1
71225;44396;1;1
40769;44396;0;1
44484;44396;0;1
44370;44396;1;0
44384;44396;1;0
44499;44396;0;1
70376;44396;1;0
40772;44396;0;1
44392;44396;1;1
44379;44396;1;0
44360;44397;1;1
44364;44397;0;1
44359;44397;1;0
44396;44397;1;0
44358;44397;1;1
44361;44397;0;1
82258;44397;0;1
44379;44397;1;0
10382;44397;1;1
55133;44397;1;1
44392;44397;0;1
10383;44397;1;0
44371;44397;0;1
10387;44397;0;1
44368;44397;0;1
85923;44397;0;1
10527;44475;1;0
10526;44475;1;0
44487;44475;0;1
64302;44475;1;0
10524;44475;0;1
75725;44475;1;1
83777;44475;0;1
44483;44475;0;1
44482;44475;0;1
44493;44475;1;0
